Name,Geography Type,Year,Resident Population,Percent Change in Resident Population,Resident Population Density,Resident Population Density Rank,Number of Representatives,Change in Number of Representatives,Average Apportionment Population Per Representative
Vermont,State,1970,"444,330",14,48.2,32,1,0,"448,327"
Virginia,State,1970,"4,648,494",17.2,117.7,18,10,0,"469,074"
Washington,State,1970,"3,409,169",19.5,51.3,30,7,0,"491,927"
West Virginia,State,1970,"1,744,237",-6.2,72.6,27,4,-1,"440,833"
Wisconsin,State,1970,"4,417,731",11.8,81.6,24,9,-1,"494,113"
Wyoming,State,1970,"332,416",0.7,3.4,51,1,0,"335,719"
Midwest Region,Region,1970,"56,571,663",9.6,,,,,
Northeast Region,Region,1970,"49,040,703",9.8,,,,,
South Region,Region,1970,"62,795,367",14.2,,,,,
West Region,Region,1970,"34,804,193",24.1,,,,,
United States,Nation,1970,"203,211,926",13.3,57.5,,435,11,"469,088"
Alabama,State,1980,"3,893,888",13.1,76.9,28,7,0,"555,723"
Alaska,State,1980,"401,851",33.8,0.7,52,1,0,"400,481"
Arizona,State,1980,"2,718,215",53.5,23.9,42,5,1,"543,573"
Arkansas,State,1980,"2,286,435",18.9,43.9,37,4,0,"571,378"
California,State,1980,"23,667,902",18.6,151.9,16,45,2,"525,968"
Colorado,State,1980,"2,889,964",30.9,27.9,40,6,1,"481,472"
Connecticut,State,1980,"3,107,576",2.5,641.7,6,6,0,"517,929"
Delaware,State,1980,"594,338",8.4,305,9,1,0,"595,225"
District of Columbia,State,1980,"638,333",-15.6,"10,456.20",1,,,
Florida,State,1980,"9,746,324",43.6,181.8,13,19,4,"512,631"
Georgia,State,1980,"5,463,105",19,95,24,10,0,"546,427"
Hawaii,State,1980,"964,691",25.5,150.2,17,2,0,"482,500"
Idaho,State,1980,"943,935",32.5,11.4,45,2,0,"471,968"
Illinois,State,1980,"11,426,518",2.8,205.8,12,22,-2,"519,021"
Indiana,State,1980,"5,490,224",5.7,153.2,15,10,-1,"549,018"
Iowa,State,1980,"2,913,808",3.2,52.2,34,6,0,"485,565"
Kansas,State,1980,"2,363,679",5.2,28.9,39,5,0,"472,642"
Kentucky,State,1980,"3,660,777",13.7,92.7,25,7,0,"523,062"
Louisiana,State,1980,"4,205,900",15.5,97.3,23,8,0,"525,497"
Maine,State,1980,"1,124,660",13.4,36.5,38,2,0,"562,330"
Maryland,State,1980,"4,216,975",7.5,434.4,7,8,0,"527,056"
Massachusetts,State,1980,"5,737,037",0.8,735.5,5,11,-1,"521,549"
Michigan,State,1980,"9,262,078",4.4,163.8,14,18,-1,"514,352"
Minnesota,State,1980,"4,075,970",7.1,51.2,35,8,0,"509,644"
Mississippi,State,1980,"2,520,638",13.7,53.7,33,5,0,"504,128"
Missouri,State,1980,"4,916,686",5.1,71.5,29,9,-1,"546,383"
Montana,State,1980,"786,690",13.3,5.4,50,2,0,"393,345"
Nebraska,State,1980,"1,569,825",5.8,20.4,43,3,0,"523,335"
Nevada,State,1980,"800,493",63.8,7.3,49,2,1,"399,592"
New Hampshire,State,1980,"920,610",24.8,102.8,22,2,0,"460,305"
New Jersey,State,1980,"7,364,823",2.7,"1,001.40",2,14,-1,"526,011"
New Mexico,State,1980,"1,302,894",28.2,10.7,46,3,1,"433,323"
New York,State,1980,"17,558,072",-3.7,372.6,8,34,-5,"516,391"
North Carolina,State,1980,"5,881,766",15.7,121,19,11,0,"534,039"
North Dakota,State,1980,"652,717",5.7,9.5,47,1,0,"652,695"
Ohio,State,1980,"10,797,630",1.4,264.3,11,21,-2,"514,163"
Oklahoma,State,1980,"3,025,290",18.2,44.1,36,6,0,"504,211"
Oregon,State,1980,"2,633,105",25.9,27.4,41,5,1,"526,533"
Pennsylvania,State,1980,"11,863,895",0.6,265.2,10,23,-2,"515,945"
Puerto Rico,State,1980,"3,196,520",17.9,933.6,3,,,
Rhode Island,State,1980,"947,154",0,916.2,4,2,0,"473,577"
South Carolina,State,1980,"3,121,820",20.5,103.9,21,6,0,"519,868"
South Dakota,State,1980,"690,768",3.8,9.1,48,1,-1,"690,178"
Tennessee,State,1980,"4,591,120",17,111.3,20,9,1,"510,083"
Texas,State,1980,"14,229,191",27.1,54.5,32,27,3,"526,977"
Utah,State,1980,"1,461,037",37.9,17.8,44,3,1,"487,012"
Vermont,State,1980,"511,456",15.1,55.5,31,1,0,"511,456"
Virginia,State,1980,"5,346,818",15,135.4,18,10,0,"534,628"
Washington,State,1980,"4,132,156",21.2,62.2,30,8,1,"516,270"
West Virginia,State,1980,"1,949,644",11.8,81.1,27,4,0,"487,411"
Wisconsin,State,1980,"4,705,767",6.5,86.9,26,9,0,"522,815"
Wyoming,State,1980,"469,557",41.3,4.8,51,1,0,"470,816"
Midwest Region,Region,1980,"58,865,670",4.1,,,,,
Northeast Region,Region,1980,"49,135,283",0.2,,,,,
South Region,Region,1980,"75,372,362",20,,,,,
West Region,Region,1980,"43,172,490",24,,,,,
United States,Nation,1980,"226,545,805",11.5,64.1,,435,17,"519,235"
Alabama,State,1990,"4,040,587",3.8,79.8,27,7,0,"580,373"
Alaska,State,1990,"550,043",36.9,1,52,1,0,"551,947"
Arizona,State,1990,"3,665,228",34.8,32.3,39,6,1,"612,998"
Arkansas,State,1990,"2,350,725",2.8,45.2,37,4,0,"590,560"
California,State,1990,"29,760,021",25.7,191,14,52,7,"573,832"
Colorado,State,1990,"3,294,394",14,31.8,40,6,0,"551,319"
Connecticut,State,1990,"3,287,116",5.8,678.8,6,6,0,"549,278"
Delaware,State,1990,"666,168",12.1,341.9,9,1,0,"668,696"
District of Columbia,State,1990,"606,900",-4.9,"9,941.30",1,,,
Florida,State,1990,"12,937,926",32.7,241.3,12,23,4,"565,364"
Georgia,State,1990,"6,478,216",18.6,112.6,23,11,1,"591,674"
Hawaii,State,1990,"1,108,229",14.9,172.6,15,2,0,"557,637"
Idaho,State,1990,"1,006,749",6.7,12.2,46,2,0,"505,993"
Illinois,State,1990,"11,430,602",0,205.9,13,20,-2,"573,334"
Indiana,State,1990,"5,544,159",1,154.8,18,10,0,"556,423"
Iowa,State,1990,"2,776,755",-4.7,49.7,35,5,-1,"557,485"
Kansas,State,1990,"2,477,574",4.8,30.3,41,4,-1,"621,400"
Kentucky,State,1990,"3,685,296",0.7,93.3,25,6,-1,"616,495"
Louisiana,State,1990,"4,219,973",0.3,97.7,24,7,-1,"605,459"
Maine,State,1990,"1,227,928",9.2,39.8,38,2,0,"616,612"
Maryland,State,1990,"4,781,468",13.4,492.6,7,8,0,"599,828"
Massachusetts,State,1990,"6,016,425",4.9,771.3,5,10,-1,"602,905"
Michigan,State,1990,"9,295,297",0.4,164.4,16,16,-2,"583,049"
Minnesota,State,1990,"4,375,099",7.3,54.9,33,8,0,"548,379"
Mississippi,State,1990,"2,573,216",2.1,54.8,34,5,0,"517,289"
Missouri,State,1990,"5,117,073",4.1,74.4,29,9,0,"570,867"
Montana,State,1990,"799,065",1.6,5.5,50,1,-1,"803,655"
Nebraska,State,1990,"1,578,385",0.5,20.5,44,3,0,"528,206"
Nevada,State,1990,"1,201,833",50.1,10.9,47,2,0,"603,076"
New Hampshire,State,1990,"1,109,252",20.5,123.9,20,2,0,"556,958"
New Jersey,State,1990,"7,730,188",5,"1,051.10",2,13,-1,"596,049"
New Mexico,State,1990,"1,515,069",16.3,12.5,45,3,0,"507,260"
New York,State,1990,"17,990,455",2.5,381.7,8,31,-3,"582,081"
North Carolina,State,1990,"6,628,637",12.7,136.3,19,12,1,"554,803"
North Dakota,State,1990,"638,800",-2.1,9.3,48,1,0,"641,364"
Ohio,State,1990,"10,847,115",0.5,265.5,11,19,-2,"573,017"
Oklahoma,State,1990,"3,145,585",4,45.9,36,6,0,"526,267"
Oregon,State,1990,"2,842,321",7.9,29.6,42,5,0,"570,747"
Pennsylvania,State,1990,"11,881,643",0.1,265.6,10,21,-2,"567,843"
Puerto Rico,State,1990,"3,522,037",10.2,"1,028.70",3,,,
Rhode Island,State,1990,"1,003,464",5.9,970.6,4,2,0,"502,992"
South Carolina,State,1990,"3,486,703",11.7,116,22,6,0,"584,285"
South Dakota,State,1990,"696,004",0.8,9.2,49,1,0,"699,999"
Tennessee,State,1990,"4,877,185",6.2,118.3,21,9,0,"544,071"
Texas,State,1990,"16,986,510",19.4,65,31,30,3,"568,660"
Utah,State,1990,"1,722,850",17.9,21,43,3,0,"575,928"
Vermont,State,1990,"562,758",10,61.1,32,1,0,"564,964"
Virginia,State,1990,"6,187,358",15.7,156.7,17,11,1,"565,143"
Washington,State,1990,"4,866,692",17.8,73.2,30,9,1,"543,105"
West Virginia,State,1990,"1,793,477",-8,74.6,28,3,-1,"600,542"
Wisconsin,State,1990,"4,891,769",4,90.3,26,9,0,"545,194"
Wyoming,State,1990,"453,588",-3.4,4.7,51,1,0,"455,975"
Midwest Region,Region,1990,"59,668,632",1.4,,,,,
Northeast Region,Region,1990,"50,809,229",3.4,,,,,
South Region,Region,1990,"85,445,930",13.4,,,,,
West Region,Region,1990,"52,786,082",22.3,,,,,
United States,Nation,1990,"248,709,873",9.8,70.4,,435,19,"572,466"
Alabama,State,2000,"4,447,100",10.1,87.8,28,7,0,"637,304"
Alaska,State,2000,"626,932",14,1.1,52,1,0,"628,933"
Arizona,State,2000,"5,130,632",40,45.2,38,8,2,"642,585"
Arkansas,State,2000,"2,673,400",13.7,51.4,36,4,0,"669,933"
California,State,2000,"33,871,648",13.8,217.4,14,53,1,"640,204"
Colorado,State,2000,"4,301,261",30.6,41.5,39,7,1,"615,983"
Connecticut,State,2000,"3,405,565",3.6,703.3,6,5,-1,"681,907"
Delaware,State,2000,"783,600",17.6,402.1,9,1,0,"785,068"
District of Columbia,State,2000,"572,059",-5.7,"9,370.60",1,,,
Florida,State,2000,"15,982,378",23.5,298,10,25,2,"641,156"
Georgia,State,2000,"8,186,453",26.4,142.3,20,13,2,"631,306"
Hawaii,State,2000,"1,211,537",9.3,188.6,15,2,0,"608,321"
Idaho,State,2000,"1,293,953",28.5,15.7,46,2,0,"648,637"
Illinois,State,2000,"12,419,293",8.6,223.7,13,19,-1,"654,686"
Indiana,State,2000,"6,080,485",9.7,169.7,18,9,-1,"676,754"
Iowa,State,2000,"2,926,324",5.4,52.4,35,5,0,"586,385"
Kansas,State,2000,"2,688,418",8.5,32.9,42,4,0,"673,456"
Kentucky,State,2000,"4,041,769",9.7,102.4,25,6,0,"674,905"
Louisiana,State,2000,"4,468,976",5.9,103.4,24,7,0,"640,039"
Maine,State,2000,"1,274,923",3.8,41.3,40,2,0,"638,866"
Maryland,State,2000,"5,296,486",10.8,545.6,7,8,0,"663,486"
Massachusetts,State,2000,"6,349,097",5.5,814,5,10,0,"635,557"
Michigan,State,2000,"9,938,444",6.9,175.8,17,15,-1,"663,722"
Minnesota,State,2000,"4,919,479",12.4,61.8,33,8,0,"615,709"
Mississippi,State,2000,"2,844,658",10.5,60.6,34,4,-1,"713,232"
Missouri,State,2000,"5,595,211",9.3,81.4,29,9,0,"622,918"
Montana,State,2000,"902,195",12.9,6.2,50,1,0,"905,316"
Nebraska,State,2000,"1,711,263",8.4,22.3,44,3,0,"571,790"
Nevada,State,2000,"1,998,257",66.3,18.2,45,3,1,"667,344"
New Hampshire,State,2000,"1,235,786",11.4,138,22,2,0,"619,208"
New Jersey,State,2000,"8,414,350",8.9,"1,144.20",2,13,0,"648,027"
New Mexico,State,2000,"1,819,046",20.1,15,47,3,0,"607,940"
New York,State,2000,"18,976,457",5.5,402.7,8,29,-2,"655,344"
North Carolina,State,2000,"8,049,313",21.4,165.6,19,13,1,"620,590"
North Dakota,State,2000,"642,200",0.5,9.3,49,1,0,"643,756"
Ohio,State,2000,"11,353,140",4.7,277.8,11,18,-1,"631,919"
Oklahoma,State,2000,"3,450,654",9.7,50.3,37,5,-1,"691,764"
Oregon,State,2000,"3,421,399",20.4,35.6,41,5,0,"685,709"
Pennsylvania,State,2000,"12,281,054",3.4,274.5,12,19,-2,"647,404"
Puerto Rico,State,2000,"3,808,610",8.1,"1,112.40",3,,,
Rhode Island,State,2000,"1,048,319",4.5,"1,014.00",4,2,0,"524,831"
South Carolina,State,2000,"4,012,012",15.1,133.5,23,6,0,"670,844"
South Dakota,State,2000,"754,844",8.5,10,48,1,0,"756,874"
Tennessee,State,2000,"5,689,283",16.7,138,21,9,0,"633,337"
Texas,State,2000,"20,851,820",22.8,79.8,30,32,2,"653,250"
Utah,State,2000,"2,233,169",29.6,27.2,43,3,0,"745,571"
Vermont,State,2000,"608,827",8.2,66.1,32,1,0,"609,890"
Virginia,State,2000,"7,078,515",14.4,179.2,16,11,0,"645,518"
Washington,State,2000,"5,894,121",21.1,88.7,27,9,0,"656,520"
West Virginia,State,2000,"1,808,344",0.8,75.2,31,3,0,"604,359"
Wisconsin,State,2000,"5,363,675",9.6,99,26,8,-1,"671,401"
Wyoming,State,2000,"493,782",8.9,5.1,51,1,0,"495,304"
Midwest Region,Region,2000,"64,392,776",7.9,,,,,
Northeast Region,Region,2000,"53,594,378",5.5,,,,,
South Region,Region,2000,"100,236,820",17.3,,,,,
West Region,Region,2000,"63,197,932",19.7,,,,,
United States,Nation,2000,"281,421,906",13.2,79.7,,435,12,"646,952"
Alabama,State,2010,"4,779,736",7.5,94.4,29,7,0,"686,140"
Alaska,State,2010,"710,231",13.3,1.2,52,1,0,"721,523"
Arizona,State,2010,"6,392,017",24.6,56.3,35,9,1,"712,522"
Arkansas,State,2010,"2,915,918",9.1,56,36,4,0,"731,557"
California,State,2010,"37,253,956",10,239.1,13,53,0,"704,566"
Colorado,State,2010,"5,029,196",16.9,48.5,39,7,0,"720,704"
Connecticut,State,2010,"3,574,097",4.9,738.1,6,5,0,"716,326"
Delaware,State,2010,"897,934",14.6,460.8,8,1,0,"900,877"
District of Columbia,State,2010,"601,723",5.2,"9,856.50",1,,,
Florida,State,2010,"18,801,310",17.6,350.6,10,27,2,"700,029"
Georgia,State,2010,"9,687,653",18.3,168.4,20,14,1,"694,826"
Hawaii,State,2010,"1,360,301",12.3,211.8,15,2,0,"683,431"
Idaho,State,2010,"1,567,582",21.1,19,46,2,0,"786,750"
Illinois,State,2010,"12,830,632",3.3,231.1,14,18,-1,"714,688"
Indiana,State,2010,"6,483,802",6.6,181,18,9,0,"722,398"
Iowa,State,2010,"3,046,355",4.1,54.5,38,4,-1,"763,447"
Kansas,State,2010,"2,853,118",6.1,34.9,42,4,0,"715,953"
Kentucky,State,2010,"4,339,367",7.4,109.9,24,6,0,"725,101"
Louisiana,State,2010,"4,533,372",1.4,104.9,26,6,-1,"758,994"
Maine,State,2010,"1,328,361",4.2,43.1,40,2,0,"666,537"
Maryland,State,2010,"5,773,552",9,594.8,7,8,0,"723,741"
Massachusetts,State,2010,"6,547,629",3.1,839.4,5,9,-1,"728,849"
Michigan,State,2010,"9,883,640",-0.6,174.8,19,14,-1,"707,973"
Minnesota,State,2010,"5,303,925",7.8,66.6,33,8,0,"664,360"
Mississippi,State,2010,"2,967,297",4.3,63.2,34,4,0,"744,560"
Missouri,State,2010,"5,988,927",7,87.1,30,8,-1,"751,435"
Montana,State,2010,"989,415",9.7,6.8,50,1,0,"994,416"
Nebraska,State,2010,"1,826,341",6.7,23.8,45,3,0,"610,608"
Nevada,State,2010,"2,700,551",35.1,24.6,44,4,1,"677,358"
New Hampshire,State,2010,"1,316,470",6.5,147,23,2,0,"660,723"
New Jersey,State,2010,"8,791,894",4.5,"1,195.50",2,12,-1,"733,958"
New Mexico,State,2010,"2,059,179",13.2,17,47,3,0,"689,091"
New York,State,2010,"19,378,102",2.1,411.2,9,27,-2,"719,298"
North Carolina,State,2010,"9,535,483",18.5,196.1,17,13,0,"735,829"
North Dakota,State,2010,"672,591",4.7,9.7,49,1,0,"675,905"
Ohio,State,2010,"11,536,504",1.6,282.3,12,16,-2,"723,031"
Oklahoma,State,2010,"3,751,351",8.7,54.7,37,5,0,"752,976"
Oregon,State,2010,"3,831,074",12,39.9,41,5,0,"769,721"
Pennsylvania,State,2010,"12,702,379",3.4,283.9,11,18,-1,"707,495"
Puerto Rico,State,2010,"3,725,789",-2.2,"1,088.20",3,,,
Rhode Island,State,2010,"1,052,567",0.4,"1,018.10",4,2,0,"527,624"
South Carolina,State,2010,"4,625,364",15.3,153.9,22,7,1,"663,711"
South Dakota,State,2010,"814,180",7.9,10.7,48,1,0,"819,761"
Tennessee,State,2010,"6,346,105",11.5,153.9,21,9,0,"708,381"
Texas,State,2010,"25,145,561",20.6,96.3,28,36,4,"701,901"
Utah,State,2010,"2,763,885",23.8,33.6,43,4,1,"692,691"
Vermont,State,2010,"625,741",2.8,67.9,32,1,0,"630,337"
Virginia,State,2010,"8,001,024",13,202.6,16,11,0,"730,703"
Washington,State,2010,"6,724,540",14.1,101.2,27,10,1,"675,337"
West Virginia,State,2010,"1,852,994",2.5,77.1,31,3,0,"619,938"
Wisconsin,State,2010,"5,686,986",6,105,25,8,0,"712,279"
Wyoming,State,2010,"563,626",14.1,5.8,51,1,0,"568,300"
Midwest Region,Region,2010,"66,927,001",3.9,,,,,
Northeast Region,Region,2010,"55,317,240",3.2,,,,,
South Region,Region,2010,"114,555,744",14.3,,,,,
West Region,Region,2010,"71,945,553",13.8,,,,,
United States,Nation,2010,"308,745,538",9.7,87.4,,435,12,"710,767"
Alabama,State,2020,"5,024,279",5.1,99.2,29,7,0,"718,579"
Alaska,State,2020,"733,391",3.3,1.3,52,1,0,"736,081"
Arizona,State,2020,"7,151,502",11.9,62.9,35,9,0,"795,436"
Arkansas,State,2020,"3,011,524",3.3,57.9,36,4,0,"753,439"
California,State,2020,"39,538,223",6.1,253.7,13,52,-1,"761,091"
Colorado,State,2020,"5,773,714",14.8,55.7,39,8,1,"722,771"
Connecticut,State,2020,"3,605,944",0.9,744.7,6,5,0,"721,660"
Delaware,State,2020,"989,948",10.2,508,8,1,0,"990,837"
District of Columbia,State,2020,"689,545",14.6,"11,280.00",1,,,
Florida,State,2020,"21,538,187",14.6,401.4,10,28,1,"770,376"
Georgia,State,2020,"10,711,908",10.6,185.6,19,14,0,"766,091"
Hawaii,State,2020,"1,455,271",7,226.6,15,2,0,"730,069"
Idaho,State,2020,"1,839,106",17.3,22.3,46,2,0,"920,689"
Illinois,State,2020,"12,812,508",-0.1,230.8,14,17,-1,"754,279"
Indiana,State,2020,"6,785,528",4.7,189.4,18,9,0,"754,476"
Iowa,State,2020,"3,190,369",4.7,57.1,38,4,0,"798,102"
Kansas,State,2020,"2,937,880",3,35.9,43,4,0,"735,216"
Kentucky,State,2020,"4,505,836",3.8,114.1,25,6,0,"751,557"
Louisiana,State,2020,"4,657,757",2.7,107.8,28,6,0,"776,911"
Maine,State,2020,"1,362,359",2.6,44.2,40,2,0,"681,791"
Maryland,State,2020,"6,177,224",7,636.1,7,8,0,"773,160"
Massachusetts,State,2020,"7,029,917",7.4,901.2,5,9,0,"781,497"
Michigan,State,2020,"10,077,331",2,178,20,13,-1,"775,726"
Minnesota,State,2020,"5,706,494",7.6,71.7,32,8,0,"713,719"
Mississippi,State,2020,"2,961,279",-0.2,63.1,34,4,0,"740,979"
Missouri,State,2020,"6,154,913",2.8,89.5,30,8,0,"770,035"
Montana,State,2020,"1,084,225",9.6,7.4,50,2,1,"542,704"
Nebraska,State,2020,"1,961,504",7.4,25.5,45,3,0,"654,444"
Nevada,State,2020,"3,104,614",15,28.3,44,4,0,"777,116"
New Hampshire,State,2020,"1,377,529",4.6,153.8,23,2,0,"689,545"
New Jersey,State,2020,"9,288,994",5.7,"1,263.00",2,12,0,"774,541"
New Mexico,State,2020,"2,117,522",2.8,17.5,47,3,0,"706,740"
New York,State,2020,"20,201,249",4.2,428.7,9,26,-1,"777,529"
North Carolina,State,2020,"10,439,388",9.5,214.7,17,14,1,"746,711"
North Dakota,State,2020,"779,094",15.8,11.3,49,1,0,"779,702"
Ohio,State,2020,"11,799,448",2.3,288.8,12,15,-1,"787,257"
Oklahoma,State,2020,"3,959,353",5.5,57.7,37,5,0,"792,703"
Oregon,State,2020,"4,237,256",10.6,44.1,41,6,1,"706,917"
Pennsylvania,State,2020,"13,002,700",2.4,290.6,11,17,-1,"765,403"
Puerto Rico,State,2020,"3,285,874",-11.8,959.6,4,,,
Rhode Island,State,2020,"1,097,379",4.3,"1,061.40",3,2,0,"549,082"
South Carolina,State,2020,"5,118,425",10.7,170.2,21,7,0,"732,102"
South Dakota,State,2020,"886,667",8.9,11.7,48,1,0,"887,770"
Tennessee,State,2020,"6,910,840",8.9,167.6,22,9,0,"768,544"
Texas,State,2020,"29,145,505",15.9,111.6,26,38,2,"767,981"
Utah,State,2020,"3,271,616",18.4,39.7,42,4,0,"818,813"
Vermont,State,2020,"643,077",2.8,69.8,33,1,0,"643,503"
Virginia,State,2020,"8,631,393",7.9,218.6,16,11,0,"786,777"
Washington,State,2020,"7,705,281",14.6,115.9,24,10,0,"771,595"
West Virginia,State,2020,"1,793,716",-3.2,74.6,31,2,-1,"897,523"
Wisconsin,State,2020,"5,893,718",3.6,108.8,27,8,0,"737,184"
Wyoming,State,2020,"576,851",2.3,5.9,51,1,0,"577,719"
Midwest Region,Region,2020,"68,985,454",3.1,,,,,
Northeast Region,Region,2020,"57,609,148",4.1,,,,,
South Region,Region,2020,"126,266,107",10.2,,,,,
West Region,Region,2020,"78,588,572",9.2,,,,,
United States,Nation,2020,"331,449,281",7.4,93.8,,435,7,"761,169"
